codigo_dane,tratamiento,edad,sexo,EGRA_Total,EGMA_Total,CSL_pct_correctas,DPSS_pct_correctas,LP_pct_correctas,CL_pct_correctas,miss_num_pct_correctas,comp_mat_op_pct_correctas,sums_pct_correctas,substract_pct_correctas,mult_div_pct_correctas,res_problems_pct_correctas,ruralidad,pdet,tei_nivel_pre,matricula_pre,pct_jornada_completa,composicion_grados,zona_C,zona_D,zona_E,tiene_tei_slope,tei_slope_pre,zona_ptafi
176563000032,1,11,2,79.14999999999999,85.82833333333333,80.0,86,67.27,83.33,90,80,92,96.3,90,66.67,0.0,0.0,96.70943209628568,1094.0,0.0,4.0,True,False,False,0,,C
344430001176,0,9,2,53.2125,72.24666666666667,0.0,98,64.85,50.0,30,30,92,81.48,100,100.0,0.0,0.0,99.56896551724138,301.0,0.0,4.0,False,False,False,0,,A
125754002066,1,10,2,56.197500000000005,78.44500000000001,26.67,86,45.45,66.67,90,70,84,66.67,60,100.0,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
176563000032,1,10,2,55.67999999999999,58.975,20.0,80,39.39,83.33,70,60,72,51.85,50,50.0,0.0,0.0,96.70943209628568,1094.0,0.0,4.0,True,False,False,0,,C
208573000072,1,11,1,77.7425,84.65333333333334,90.0,84,70.3,66.67,80,70,92,92.59,90,83.33,1.0,0.0,99.37625004866295,526.0,0.0,4.0,False,False,False,1,0.8621434479534713,A
208573000072,1,10,1,35.69,59.21000000000001,21.67,42,29.09,50.0,80,20,96,92.59,50,16.67,1.0,0.0,99.37625004866295,526.0,0.0,4.0,False,False,False,1,0.8621434479534713,A
366001000670,0,9,1,51.015,71.48166666666667,23.33,68,46.06,66.67,80,80,100,55.56,80,33.33,0.0,0.0,97.53860577328943,442.0,100.0,4.0,True,False,False,0,,C
366001000670,0,9,1,61.040000000000006,83.16166666666668,11.67,84,81.82,66.67,100,60,96,96.3,80,66.67,0.0,0.0,97.53860577328943,442.0,100.0,4.0,True,False,False,0,,C
168001001921,0,9,1,45.5,51.30833333333334,10.0,62,26.67,83.33,50,40,76,51.85,40,50.0,0.0,0.0,94.74079980653808,5252.0,0.0,4.0,True,False,False,1,-3.99579393534728,C
168001000525,1,9,1,61.985,90.01166666666666,30.0,94,73.94,50.0,100,70,96,74.07,100,100.0,0.0,0.0,97.40737135118356,4193.0,25.948008585738137,4.0,True,False,False,1,0.1658523817208106,C
168001001921,0,9,1,42.0,51.431666666666665,13.33,48,40.0,66.67,40,40,76,59.26,60,33.33,0.0,0.0,94.74079980653808,5252.0,0.0,4.0,True,False,False,1,-3.99579393534728,C
125754002066,1,9,2,60.212500000000006,49.776666666666664,66.67,96,44.85,33.33,60,20,52,33.33,50,83.33,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
125754002066,1,9,2,49.0625,32.96333333333334,30.0,92,57.58,16.67,50,30,60,11.11,30,16.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
325754004238,0,8,1,71.69749999999999,83.53,50.0,78,58.79,100.0,90,80,96,51.85,100,83.33,0.0,0.0,99.29179282600856,1396.0,100.0,3.0,True,False,False,0,,C
