locationEstudiante,locationSede,codigo_dane,tratamiento,par_id,pionero,edad,sexo,zona,ruralidad,pdet,zona_ptafi,tei_nivel_pre,tei_slope_pre,matricula_pre,num_jornadas,pct_jornada_completa,composicion_grados,CSL_total_correctas,CSL_pct_correctas,DPSS_total_correctas,DPSS_pct_correctas,LP_total_correctas,LP_pct_correctas,CL_total_correctas,CL_pct_correctas,miss_num_total_correctas,miss_num_pct_correctas,comp_mat_op_total_correctas,comp_mat_op_pct_correctas,sums_total_correctas,sums_pct_correctas,substract_total_correctas,substract_pct_correctas,mult_div_total_correctas,mult_div_pct_correctas,res_problems_total_correctas,res_problems_pct_correctas
78412513,366001000670,366001000670,0,4.0,0.0,9,2,URBANO,0.0,0.0,C,97.53860577328943,,442.0,1.0,100.0,4.0,9,15.0,37,74,71,43.03,3,50.0,9,90,7,70,19,76,19,70.37,5,50,4,66.67
78414413,125754002066,125754002066,1,11.0,1.0,10,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,14,23.33,23,46,65,39.39,3,50.0,5,50,0,0,12,48,11,40.74,3,30,1,16.67
78462403,119001001474,119001001474,0,5.0,0.0,9,2,URBANO,0.0,0.0,D,98.90026346892544,-1.8498227124987636,1094.0,1.0,0.0,4.0,14,23.33,42,84,94,56.97,4,66.67,6,60,4,40,23,92,17,62.96,5,50,5,83.33
78468531,176001043791,176001043791,1,1.0,1.0,9,1,URBANO,0.0,0.0,D,88.9038638514175,-1.1683834405399125,1260.0,1.0,0.0,4.0,33,55.0,44,88,151,91.52,5,83.33,8,80,7,70,23,92,19,70.37,5,50,4,66.67
78470331,125754002066,125754002066,1,11.0,1.0,12,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,27,45.0,33,66,58,35.15,4,66.67,9,90,5,50,22,88,16,59.26,7,70,2,33.33
78475364,366001000670,366001000670,0,4.0,0.0,9,2,URBANO,0.0,0.0,C,97.53860577328943,,442.0,1.0,100.0,4.0,23,38.33,50,100,95,57.58,5,83.33,7,70,6,60,25,100,20,74.07,5,50,5,83.33
78475419,119001003981,119001003981,1,5.0,0.0,11,2,URBANO,0.0,0.0,D,96.70943209628567,3.694207178719765,1399.0,3.0,0.0,4.0,9,15.0,20,40,41,24.85,5,83.33,6,60,5,50,16,64,16,59.26,5,50,4,66.67
78476395,366001000670,366001000670,0,4.0,0.0,9,2,URBANO,0.0,0.0,C,97.53860577328943,,442.0,1.0,100.0,4.0,6,10.0,38,76,63,38.18,1,16.67,3,30,3,30,22,88,18,66.67,7,70,2,33.33
78476469,366001000670,366001000670,0,4.0,0.0,9,2,URBANO,0.0,0.0,C,97.53860577328943,,442.0,1.0,100.0,4.0,6,10.0,35,70,63,38.18,5,83.33,6,60,3,30,3,12,10,37.04,4,40,2,33.33
78477429,244430001635,244430001635,1,3.0,0.0,10,1,URBANO,0.0,0.0,A,98.51917361165148,-1.3372213277041851,1015.0,3.0,0.0,4.0,12,20.0,50,100,75,45.45,4,66.67,7,70,5,50,23,92,21,77.78,8,80,3,50.0
78478178,125754002066,125754002066,1,11.0,1.0,10,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,6,10.0,40,80,71,43.03,5,83.33,5,50,2,20,17,68,14,51.85,5,50,4,66.67
78480100,225126000288,225126000288,1,9.0,0.0,9,2,URBANO,0.0,0.0,C,96.12225747971851,-0.2618497373351687,901.0,2.0,0.0,4.0,15,25.0,17,34,37,22.42,4,66.67,5,50,7,70,14,56,14,51.85,6,60,5,83.33
78484933,244430001635,244430001635,1,3.0,0.0,10,1,URBANO,0.0,0.0,A,98.51917361165148,-1.3372213277041851,1015.0,3.0,0.0,4.0,0,0.0,35,70,54,32.73,5,83.33,3,30,0,0,18,72,13,48.15,4,40,1,16.67
78502838,376001030965,376001030965,0,1.0,1.0,9,2,URBANO,0.0,0.0,D,95.16745953355237,,651.0,2.0,0.0,4.0,14,23.33,46,92,112,67.88,3,50.0,8,80,3,30,20,80,18,66.67,8,80,3,50.0
78511868,225126000288,225126000288,1,9.0,0.0,8,1,URBANO,0.0,0.0,C,96.12225747971851,-0.2618497373351687,901.0,2.0,0.0,4.0,8,13.33,46,92,90,54.55,6,100.0,8,80,9,90,22,88,17,62.96,5,50,2,33.33
78517528,125754002066,125754002066,1,11.0,1.0,9,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,16,26.67,29,58,67,40.61,2,33.33,7,70,3,30,16,64,11,40.74,6,60,2,33.33
78525702,244430001635,244430001635,1,3.0,0.0,10,2,URBANO,0.0,0.0,A,98.51917361165148,-1.3372213277041851,1015.0,3.0,0.0,4.0,13,21.67,42,84,102,61.82,4,66.67,9,90,5,50,22,88,26,96.3,9,90,5,83.33
78527832,125754002066,125754002066,1,11.0,1.0,10,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,8,13.33,28,56,52,31.52,5,83.33,7,70,4,40,16,64,11,40.74,5,50,5,83.33
78533730,176563000032,176563000032,1,,,11,2,,,,,,,,,,,48,80.0,43,86,111,67.27,5,83.33,9,90,8,80,23,92,26,96.3,9,90,4,66.67
78546679,344430001176,344430001176,0,3.0,0.0,9,2,URBANO,0.0,0.0,A,99.56896551724138,,301.0,1.0,0.0,4.0,0,0.0,49,98,107,64.85,3,50.0,3,30,3,30,23,92,22,81.48,10,100,6,100.0
78580817,125754002066,125754002066,1,11.0,1.0,10,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,16,26.67,43,86,75,45.45,4,66.67,9,90,7,70,21,84,18,66.67,6,60,6,100.0
78582401,176563000032,176563000032,1,,,10,2,,,,,,,,,,,12,20.0,40,80,65,39.39,5,83.33,7,70,6,60,18,72,14,51.85,5,50,3,50.0
78582778,208573000072,208573000072,1,8.0,0.0,11,1,RURAL,1.0,0.0,A,99.37625004866297,0.8621434479534713,526.0,2.0,0.0,4.0,54,90.0,42,84,116,70.3,4,66.67,8,80,7,70,23,92,25,92.59,9,90,5,83.33
78591718,208573000072,208573000072,1,8.0,0.0,10,1,RURAL,1.0,0.0,A,99.37625004866297,0.8621434479534713,526.0,2.0,0.0,4.0,13,21.67,21,42,48,29.09,3,50.0,8,80,2,20,24,96,25,92.59,5,50,1,16.67
78603356,366001000670,366001000670,0,4.0,0.0,9,1,URBANO,0.0,0.0,C,97.53860577328943,,442.0,1.0,100.0,4.0,14,23.33,34,68,76,46.06,4,66.67,8,80,8,80,25,100,15,55.56,8,80,2,33.33
78603360,366001000670,366001000670,0,4.0,0.0,9,1,URBANO,0.0,0.0,C,97.53860577328943,,442.0,1.0,100.0,4.0,7,11.67,42,84,135,81.82,4,66.67,10,100,6,60,24,96,26,96.3,8,80,4,66.67
78604462,168001001921,168001001921,0,6.0,0.0,9,1,URBANO,0.0,0.0,C,94.74079980653809,-3.9957939353472796,5252.0,2.0,0.0,4.0,6,10.0,31,62,44,26.67,5,83.33,5,50,4,40,19,76,14,51.85,4,40,3,50.0
78606413,168001000525,168001000525,1,6.0,0.0,9,1,URBANO,0.0,0.0,C,97.40737135118357,0.16585238172081063,4193.0,3.0,25.948008585738137,4.0,18,30.0,47,94,122,73.94,3,50.0,10,100,7,70,24,96,20,74.07,10,100,6,100.0
78609013,168001001921,168001001921,0,6.0,0.0,9,1,URBANO,0.0,0.0,C,94.74079980653809,-3.9957939353472796,5252.0,2.0,0.0,4.0,8,13.33,24,48,66,40.0,4,66.67,4,40,4,40,19,76,16,59.26,6,60,2,33.33
78615408,125754002066,125754002066,1,11.0,1.0,9,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,40,66.67,48,96,74,44.85,2,33.33,6,60,2,20,13,52,9,33.33,5,50,5,83.33
78615409,125754002066,125754002066,1,11.0,1.0,9,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,18,30.0,46,92,95,57.58,1,16.67,5,50,3,30,15,60,3,11.11,3,30,1,16.67
78615478,325754004238,325754004238,0,11.0,1.0,8,1,URBANO,0.0,0.0,C,99.29179282600855,,1396.0,1.0,100.0,3.0,30,50.0,39,78,97,58.79,6,100.0,9,90,8,80,24,96,14,51.85,10,100,5,83.33
78615876,325754004238,325754004238,0,11.0,1.0,9,2,URBANO,0.0,0.0,C,99.29179282600855,,1396.0,1.0,100.0,3.0,9,15.0,23,46,52,31.52,5,83.33,7,70,5,50,21,84,12,44.44,2,20,2,33.33
78617104,125754002066,125754002066,1,11.0,1.0,9,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,21,35.0,24,48,51,30.91,3,50.0,8,80,2,20,16,64,11,40.74,4,40,3,50.0
